MINFILNO,RANK,NAME
082ENE001,1,"MCKINLEY"
082ENE001,2,"MCKINLEY (L.140S)"
082ENE001,3,"FRANKLIN CAMP"
082ENE002,1,"BANNER"
082ENE002,2,"BANNER (L.1199)"
082ENE002,3,"PLATINUM BLONDE"
082ENE002,4,"FRANKLIN CAMP"
082ENE002,5,"HOMESTAKE"
082ENE002,6,"NORTH BANNER"
082ENE003,1,"UNION"
082ENE003,2,"UNION (L.1022S)"
082ENE003,3,"PAPER DOLLAR (L.1677S)"
082ENE003,4,"UNION FRACTION (L.1678S)"
082ENE003,5,"IDAHO (L.1679S)"
082ENE003,6,"FRANKLIN CAMP"
082ENE004,1,"LITTLE"
082ENE004,2,"FRANKLIN CAMP"
082ENE005,1,"GLOUCESTER"
082ENE005,2,"GLOUCESTER (L.2809)"
082ENE005,3,"GLOUCESTER GROUP"
082ENE005,4,"GLOUSTER GROUP"
082ENE005,5,"FRANKLIN CAMP"
082ENE006,1,"G.H."
082ENE006,2,"G.H. (L.2810)"
082ENE006,3,"GLOUCESTER GROUP"
082ENE006,4,"GLOUSTER GROUP"
082ENE006,5,"FRANKLIN CAMP"
082ENE006,6,"OPHER (L.2811)"
082ENE007,1,"AVERILL"
082ENE007,2,"PLATINUM BLONDE"
082ENE007,3,"FRANKLIN CAMP"
082ENE008,1,"BUFFALO"
082ENE008,2,"BUFFALO (L.920S)"
082ENE008,3,"PLATINUM BLONDE"
082ENE008,4,"FRANKLIN CAMP"
082ENE009,1,"MAPLE LEAF"
082ENE009,2,"PLATINUM BLONDE"
082ENE009,3,"KINGFISHER"
082ENE009,4,"PAR"
082ENE009,5,"MAPLE LEAF (L.1609S)"
082ENE009,6,"MAPLE LEAF(GENIE)"
082ENE009,7,"TWILIGHT"
082ENE009,8,"CLIMAX"
082ENE009,9,"FRANKLIN CAMP"
082ENE010,1,"ROYAL TINTO"
082ENE010,2,"FRANKLIN CAMP"
082ENE011,1,"COPKET"
082ENE011,2,"COPKET #3 FR."
082ENE011,3,"LOTTIE F (L.2949)"
082ENE011,4,"MESSINA (L.2951)"
082ENE011,5,"STERLINGHAM FR. (L.1901)"
082ENE011,6,"COPKET 1-8"
082ENE011,7,"DAVID"
082ENE011,8,"DAVID 1-6"
082ENE011,9,"CUP"
082ENE011,10,"SAND"
082ENE012,1,"ELLSWORTH"
082ENE012,2,"BEV"
082ENE012,3,"TUFF"
082ENE012,4,"MAL"
082ENE012,5,"JOHN"
082ENE012,6,"MOSH"
082ENE013,1,"BULLION"
082ENE013,2,"BULLION (L.1200)"
082ENE013,3,"PLATINUM BLONDE"
082ENE013,4,"FRANKLIN CAMP"
082ENE014,1,"ALCO"
082ENE014,2,"ALCO 4-8"
082ENE014,3,"DOE 1-2"
082ENE014,4,"BEAR 1-8"
082ENE014,5,"COPPER"
082ENE014,6,"COPPER 2"
082ENE014,7,"COPPER GROUP"
082ENE014,8,"RIVERSIDE"
082ENE014,9,"DREADNAUGHT"
082ENE014,10,"LEADER"
082ENE014,11,"EDNA"
082ENE014,12,"LEAH"
082ENE014,13,"WHITETAIL"
082ENE014,14,"WHITETAIL FRACTION"
082ENE014,15,"FRANKLIN CAMP"
082ENE015,1,"FUKI"
082ENE015,2,"DONEN"
082ENE016,1,"BS"
082ENE016,2,"PANE"
082ENE016,3,"FERN"
082ENE017,1,"WATERLOO"
082ENE017,2,"WATERLOO NO.3 (L.4815)"
082ENE017,3,"LIGHTNING PEAK CAMP"
082ENE018,1,"LIGHTNING PEAK PERIDOTE"
082ENE019,1,"PINTO"
082ENE019,2,"PINTO (L.3240)"
082ENE019,3,"CAG 1-6"
082ENE019,4,"PI 1-3"
082ENE019,5,"SANDY"
082ENE019,6,"LOIN"
082ENE019,7,"FRANKLIN CAMP"
082ENE020,1,"VERDE (L.1011S)"
082ENE020,2,"UNITED VERDE"
082ENE020,3,"VIOLET FR. (L.588S)"
082ENE020,4,"HENNEKIN (L.439S)"
082ENE020,5,"PLATINUM BLONDE"
082ENE020,6,"SPRING 1-6"
082ENE020,7,"FRANKLIN CAMP"
082ENE021,1,"YELLOW JACKET"
082ENE021,2,"YELLOW JACKET (L.924S)"
082ENE022,1,"MORNING"
082ENE022,2,"MORNING NO. 2"
082ENE022,3,"CORDOVA"
082ENE022,4,"ONTARIO"
082ENE022,5,"DIRECTOR"
082ENE022,6,"DIRECTOR 5"
082ENE022,7,"PAYCHECK"
082ENE022,8,"MORNING 1"
082ENE022,9,"MORNING 2"
082ENE022,10,"ROB 1"
082ENE022,11,"XEN 1"
082ENE022,12,"LIGHTNING PEAK CAMP"
082ENE022,13,"WINNIFRED CREEK"
082ENE023,1,"DICTATOR"
082ENE023,2,"DICTATOR (L.4636)"
082ENE023,3,"ROB 1"
082ENE023,4,"AZZA"
082ENE023,5,"LIGHTNING PEAK CAMP"
082ENE023,6,"XEN"
082ENE024,1,"POTOSI"
082ENE024,2,"POTOSI 1-4"
082ENE024,3,"POTOSI LOC. 4-6"
082ENE024,4,"PEAK 23-25"
082ENE024,5,"PEAK 41"
082ENE024,6,"JON"
082ENE024,7,"LIGHTNING PEAK CAMP"
082ENE025,1,"SILVER SPOT LOC. 8"
082ENE025,2,"SILVER SPOT"
082ENE025,3,"PEAK 38"
082ENE025,4,"GRIZZ 3"
082ENE025,5,"LIGHTNING PEAK CAMP"
082ENE026,1,"SILVER SPOT LOC. 9"
082ENE026,2,"SILVER SPOT"
082ENE026,3,"PEAK 40"
082ENE026,4,"RHONDDA"
082ENE026,5,"GRIZZ 3"
082ENE026,6,"LIGHTNING PEAK CAMP"
082ENE027,1,"AU"
082ENE027,2,"PEAK 40"
082ENE027,3,"RHONDDA"
082ENE027,4,"GRIZZ 1"
082ENE027,5,"LIGHTNING PEAK CAMP"
082ENE028,1,"SILVER SPOT NO. 3"
082ENE028,2,"SILVER SPOT LOC. 11"
082ENE028,3,"PEAK 58"
082ENE028,4,"GRIZZ 2"
082ENE028,5,"REN 1"
082ENE028,6,"LIGHTNING PEAK CAMP"
082ENE029,1,"SILVER SPOT NO. 4"
082ENE029,2,"SILVER SPOT LOC. 12"
082ENE029,3,"SILVER SPOT LOC. 13"
082ENE029,4,"SILVER SPOT"
082ENE029,5,"PEAK 78"
082ENE029,6,"GEO 1"
082ENE029,7,"LIGHTNING PEAK CAMP"
082ENE030,1,"COLLIER"
082ENE030,2,"DONEN"
082ENE031,1,"LUMPY"
082ENE031,2,"LUMPY LOC. 14"
082ENE031,3,"BIG P2"
082ENE031,4,"PEAK 91"
082ENE031,5,"LIGHTNING PEAK CAMP"
082ENE032,1,"RAMPALO"
082ENE032,2,"RAMPALO L. 2408"
082ENE032,3,"RAMPALO LOC. 16"
082ENE032,4,"RAMPALO LOC. 17"
082ENE032,5,"SILVER LUMP"
082ENE032,6,"SILVER LUMP L. 2409"
082ENE032,7,"RAMPALO FRACTION"
082ENE032,8,"PEAK 96"
082ENE032,9,"LIGHTNING PEAK CAMP"
082ENE033,1,"IXL"
082ENE033,2,"IXL (L.1030S)"
082ENE033,3,"BURRELL"
082ENE033,4,"JUMBO (L.143)"
082ENE033,5,"WALLACE (L.142S)"
082ENE033,6,"FRANKLIN CAMP"
082ENE034,1,"KILLARNEY"
082ENE034,2,"KILARNEY"
082ENE034,3,"KILLARNEY (L.4637)"
082ENE034,4,"KILLARNEY GROUP LOC. 18"
082ENE034,5,"THUNDER HILL FRACTION (L.4638)"
082ENE034,6,"LUCKY JIM FRACTION (L.4639)"
082ENE034,7,"LIGHTNING PEAK CAMP"
082ENE035,1,"LIGHTNING PEAK"
082ENE035,2,"THUNDER HILL (L.3413)"
082ENE035,3,"FIRST CHANCE (L.3414)"
082ENE035,4,"WEST FORK (L.3413)"
082ENE035,5,"JIM HILL (L.3416)"
082ENE035,6,"EQUINOX"
082ENE035,7,"LIGHTNING PEAK GROUP LOC.19-20"
082ENE035,8,"M22"
082ENE036,1,"BLUE"
082ENE036,2,"RT 9"
082ENE037,1,"PAY DAY"
082ENE037,2,"PAYCHECK"
082ENE037,3,"PAY DAY GROUP LOC. 21"
082ENE037,4,"PEAK 171"
082ENE037,5,"DAY 1-4"
082ENE037,6,"PAY DAY 1-2"
082ENE037,7,"LIGHTNING PEAK CAMP"
082ENE037,8,"RAM"
082ENE038,1,"BIG HILL"
082ENE038,2,"GEO 2"
082ENE038,3,"PEAK 152"
082ENE038,4,"LIGHTNING PEAK CAMP"
082ENE039,1,"PILOT"
082ENE039,2,"UTA"
082ENE039,3,"PEAK 157"
082ENE039,4,"L.P. 3"
082ENE039,5,"LP 3"
082ENE039,6,"LIGHTNING PEAK CAMP"
082ENE039,7,"XEN 2"
082ENE040,1,"SAND"
082ENE040,2,"SAND 26"
082ENE040,3,"BIG FOOT"
082ENE041,1,"CUP LAKE"
082ENE041,2,"DONEN"
082ENE041,3,"CAROL"
082ENE042,1,"JIMMY"
082ENE042,2,"JIMMY FR."
082ENE042,3,"PLATINUM BLONDE"
082ENE042,4,"FRANKLIN (L.438S)"
082ENE042,5,"FRANKLIN CAMP"
082ENE043,1,"LOUMARK"
082ENE043,2,"EAST LOUMARK"
082ENE043,3,"WEST LOUMARK"
082ENE043,4,"TACK"
082ENE043,5,"KING GEORGE MINE"
082ENE043,6,"KETTLE RIVER"
082ENE043,7,"WIN 14-16"
082ENE044,1,"SAB"
082ENE044,2,"SAB 5"
082ENE044,3,"STOCKWORK"
082ENE044,4,"LEAD"
082ENE044,5,"SOUTH"
082ENE044,6,"KETTLE"
082ENE044,7,"BS 12"
082ENE044,8,"BAS"
082ENE045,1,"NOVE 1"
082ENE045,2,"FRANKLIN CAMP"
082ENE046,1,"BLIZZARD"
082ENE046,2,"BEVERLY"
082ENE046,3,"MORAIG"
082ENE046,4,"PATRICIA"
082ENE047,1,"LASSIE"
082ENE047,2,"DONEN 361"
082ENE048,1,"ML"
082ENE048,2,"SILVER SPOT NO. 4"
082ENE048,3,"SILVER SPOT LOC. 13"
082ENE049,1,"TP"
082ENE049,2,"TEEPEE 1-2"
082ENE049,3,"TP 1-6"
082ENE049,4,"LIGHTNING PEAK CAMP"
082ENE050,1,"ALDIE"
082ENE050,2,"ALDIE (L.3239)"
082ENE050,3,"PLATINUM BLONDE"
082ENE050,4,"FRANKLIN CAMP"
082ENE051,1,"HOMESTAKE"
082ENE051,2,"HOMESTAKE (L.589S)"
082ENE051,3,"PLATINUM BLONDE"
082ENE051,4,"FRANKLIN CAMP"
082ENE052,1,"ALPHA"
082ENE052,2,"ALPHA (L.1204)"
082ENE052,3,"PLATINUM BLONDE"
082ENE052,4,"FRANKLIN CAMP"
082ENE053,1,"GOLDEN"
082ENE053,2,"GOLDEN AGE (L.987S)"
082ENE053,3,"PLATINUM BLONDE"
082ENE053,4,"FRANKLIN CAMP"
082ENE053,5,"ALERT (L.930S)"
082ENE054,1,"BLUE JAY"
082ENE054,2,"PLATINUM BLONDE"
082ENE054,3,"FRANKLIN CAMP"
082ENE055,1,"MOUNTAIN LION"
082ENE055,2,"MOUNTAIN LION (L.144S)"
082ENE055,3,"PLATINUM BLONDE"
082ENE055,4,"FRANKLIN CAMP"
082ENE056,1,"LUCKY JACK (L.1026S)"
082ENE056,2,"WHITE BEAR GROUP"
082ENE056,3,"DAJG 5"
082ENE056,4,"PLATINUM BLONDE"
082ENE056,5,"FRANKLIN CAMP"
082ENE057,1,"WHITE BEAR"
082ENE057,2,"WHITE BEAR (L.1025S)"
082ENE057,3,"WHITE BEAR GROUP"
082ENE057,4,"TENDERLOIN"
082ENE058,1,"IRON CAP"
082ENE058,2,"IRON CAP (L.929S)"
082ENE059,1,"NELLIE"
082ENE059,2,"NELLIE (L.1017S)"
082ENE060,1,"COLUMBIA"
082ENE060,2,"COLUMBIA (L.958S)"
082ENE060,3,"PLATINUM BLONDE"
082ENE060,4,"FRANKLIN CAMP"
082ENE061,1,"OTTAWA"
082ENE061,2,"OTTAWA (L.957S)"
082ENE061,3,"PLATINUM BLONDE"
082ENE061,4,"FRANKLIN CAMP"
082ENE062,1,"FRANKLIN CAMP LIMESTONE"
082ENE063,1,"DEADWOOD"
082ENE063,2,"DEADWOOD (L.590S)"
082ENE063,3,"PLATINUM BLONDE"
082ENE063,4,"HOMESTAKE"
082ENE063,5,"FRANKLIN CAMP"
082ENE064,1,"CANE 7"
082ENE065,1,"COMPLETER (L.7309)"
082ENE065,2,"COMPLETER"
082ENE065,3,"ARROW LAKE"
082ENE065,4,"DAVE"
082ENE066,1,"LAURA"
082ENE066,2,"PLATINUM BLONDE"
082ENE066,3,"FRANKLIN CAMP"
082ENE067,1,"CLIFF"
082ENE067,2,"OUTBACK"
082ENE068,1,"BETH"
082ENE068,2,"OUTBACK"
082ENE069,1,"LEAH"
082ENE069,2,"OUTBACK"
082ENE070,1,"JANE"
082ENE070,2,"OUTBACK"
082ENE071,1,"TARA"
082ENE071,2,"OUTBACK"
082ENE072,1,"AZZA 1"
082ENE072,2,"AZZA"
082ENE072,3,"DIRECTOR"
082ENE072,4,"LIGHTNING PEAK CAMP"
082ENE073,1,"AZZA 7"
082ENE073,2,"AZZA"
082ENE073,3,"MORNING 1"
082ENE073,4,"KEN"
082ENE073,5,"LIGHTNING PEAK CAMP"
082ENE074,1,"KET"
082ENE074,2,"KET 2"
082ENE074,3,"DONEN 126"
082ENE074,4,"BARTH"
082ENE075,1,"RICH"
082ENE075,2,"RICH 1"
082ENE075,3,"LIGHTNING PEAK CAMP"
082ENE075,4,"PRINCE"
082ENE076,1,"VICTORIA EAST"
082ENE076,2,"VICTORIA"
082ENE076,3,"VICTORIA LOC. 15"
082ENE076,4,"PEAK 96"
082ENE076,5,"BIG P2"
082ENE076,6,"LIGHTNING PEAK CAMP"
082ENE077,1,"VICTORIA WEST"
082ENE077,2,"VICTORIA"
082ENE077,3,"VICTORIA LOC. 15"
082ENE077,4,"PEAK 96"
082ENE077,5,"BIG P2"
082ENE077,6,"LIGHTNING PEAK CAMP"
082ENE078,1,"RICH ROCK"
082ENE078,2,"TEE 4"
082ENE078,3,"BIG P GROUP"
082ENE078,4,"LIGHTNING PEAK CAMP"
082ENE079,1,"RICH ROCK WEST"
082ENE079,2,"TEE 5"
082ENE079,3,"BIG P GROUP"
082ENE079,4,"LIGHTNING PEAK CAMP"
082ENE080,1,"BEAVER"
082ENE080,2,"BEAVER (L.1611)"
082ENE080,3,"MAPLE LEAF"
082ENE080,4,"PLATINUM BLONDE"
082ENE080,5,"FRANKLIN CAMP"
082ENE081,1,"GRANO CREEK"
082ENE082,1,"KAMI 5"
082ENE083,1,"SR 1-2"
082ENE083,2,"SUNRISE"
082ENE084,1,"ANT 2"
082ENE085,1,"ANT HILL"
082ENE085,2,"BLUFF 2"
082ENE086,1,"MIKE"
082ENE086,2,"DEVIL 10"
082ENE086,3,"RED DEVIL 1"
082ENE087,1,"BAS"
082ENE087,2,"STOCKWORK"
082ENE087,3,"H.G."
082ENE087,4,"HG"
082ENE087,5,"SAB 5"
082ENE087,6,"KETTLE"
082ENE087,7,"BS 6-8"
082ENE088,1,"LAST CHANCE (L.586S)"
082ENE088,2,"FRANKLIN CAMP"
082ENE088,3,"JACK"
082ENW001,1,"MAC"
082ENW002,1,"BLUE HAWK"
082ENW002,2,"BLUEHAWK"
082ENW002,3,"SPIKE"
082ENW002,4,"KURTIS"
082ENW002,5,"DAWN"
082ENW002,6,"BEAR"
082ENW002,7,"OK"
082ENW002,8,"TOWER"
082ENW002,9,"HILL"
082ENW002,10,"RJ"
082ENW003,1,"NORTH BRENDA-CENTRAL"
082ENW003,2,"TRE 6, 15"
082ENW003,3,"ANN"
082ENW003,4,"PH9"
082ENW003,5,"TREPANIER"
082ENW004,1,"ELK 7"
082ENW005,1,"ELK 2"
082ENW005,2,"DKD"
082ENW005,3,"BRU"
082ENW005,4,"ARLINGTON"
082ENW006,1,"ELK 4"
082ENW006,2,"DKD"
082ENW006,3,"BRU"
082ENW007,1,"MAURICE"
082ENW007,2,"JACKPINE"
082ENW008,1,"NORTH BRENDA-JEFF 43"
082ENW008,2,"JEF NO. 43"
082ENW008,3,"JEFF 43"
082ENW008,4,"TRE 19"
082ENW008,5,"DDH24"
082ENW008,6,"ROB"
082ENW009,1,"WP-CATI"
082ENW009,2,"BILL"
082ENW009,3,"BRUCE"
082ENW010,1,"COLLEX"
082ENW010,2,"SUGNA"
082ENW011,1,"SID"
082ENW011,2,"SID 2"
082ENW011,3,"SID 3"
082ENW011,4,"KC"
082ENW012,1,"CACHE"
082ENW012,2,"CACHE 4"
082ENW012,3,"ROSE 3"
082ENW013,1,"GLAD"
082ENW014,1,"ARNIE"
082ENW014,2,"X"
082ENW014,3,"WENDY"
082ENW014,4,"COL"
082ENW014,5,"JOHN"
082ENW015,1,"ARLINGTON"
082ENW015,2,"CU"
082ENW015,3,"CAPTAIN GORDON"
082ENW016,1,"PEACHLAND LIMESTONE"
082ENW016,2,"CAMP HEWITT 1"
082ENW016,3,"DEEP"
082ENW017,1,"ALMA MATER"
082ENW017,2,"RAT 22"
082ENW017,3,"GREATA"
082ENW017,4,"OKA"
082ENW018,1,"SILVER KING"
082ENW018,2,"RAT 1"
082ENW018,3,"OKA"
082ENW018,4,"GREATA"
082ENW018,5,"BIG DADDY"
082ENW019,1,"CAMP HEWITT 2"
082ENW019,2,"DEEP"
082ENW019,3,"SMITH FARM"
082ENW020,1,"LAKEVIEW"
082ENW020,2,"LAKEVIEW (L.1001)"
082ENW020,3,"SILVER BELL"
082ENW020,4,"SILVER CUP"
082ENW020,5,"SUE"
082ENW020,6,"LYLA NO. 2"
082ENW021,1,"ROSE-MUNRO LAKE"
082ENW021,2,"JASS"
082ENW021,3,"HEN"
082ENW021,4,"MUN"
082ENW021,5,"GLEN"
082ENW021,6,"ROSE"
082ENW021,7,"DALE"
082ENW021,8,"MUNRO LAKE"
082ENW022,1,"CAMP HEWITT 3"
082ENW022,2,"PENNY 5-8"
082ENW022,3,"GLADSTONE"
082ENW022,4,"DEEP"
082ENW022,5,"ROHANNA"
082ENW023,1,"CAMP HEWITT 8"
082ENW023,2,"DEEP"
082ENW023,3,"MOUNTAIN VIEW (L.1000)"
082ENW024,1,"CAMP HEWITT 12"
082ENW024,2,"ROHANNA"
082ENW024,3,"ZN"
082ENW025,1,"IRON HORSE"
082ENW025,2,"IRON HORSE (L.4098)"
082ENW025,3,"OKA"
082ENW025,4,"SANBURG"
082ENW025,5,"BRENCAP"
082ENW025,6,"BRENCOLL"
082ENW025,7,"SANDBERG"
082ENW025,8,"ILA"
082ENW025,9,"RED ROCK"
082ENW026,1,"CAP"
082ENW026,2,"BLUEBELL"
082ENW026,3,"PATRICIA"
082ENW026,4,"TED 2"
082ENW026,5,"ELK 2"
082ENW026,6,"OKA"
082ENW027,1,"BLUEBELL II"
082ENW027,2,"PATRICIA"
082ENW027,3,"TED 3"
082ENW027,4,"ELK 3"
082ENW027,5,"CAP"
082ENW028,1,"KELLY"
082ENW028,2,"LAST CHANCE"
082ENW029,1,"OKANAGAN"
082ENW029,2,"OKANAGAN (L.557)"
082ENW029,3,"TORPEDO (L.1184)"
082ENW029,4,"SILVER SHORE"
082ENW030,1,"GAYLE"
082ENW031,1,"BATHFIELD SILVER LODE"
082ENW031,2,"JON"
082ENW032,1,"HITCHENER RANCH"
082ENW033,1,"HALL CREEK"
082ENW033,2,"ARLINGTON"
082ENW034,1,"LITTLE DUNCAN"
082ENW034,2,"LITTLE DUNCAN (L.904)"
082ENW034,3,"SID 10"
082ENW035,1,"PANORAMA"
082ENW035,2,"PANORAMA (L.905)"
082ENW035,3,"SID 12"
082ENW036,1,"CARMI MOLY"
082ENW036,2,"DOE"
082ENW036,3,"MARY O"
082ENW036,4,"FAN"
082ENW036,5,"CA"
082ENW036,6,"PFC"
082ENW036,7,"MY"
082ENW036,8,"MARY"
082ENW036,9,"MAY"
082ENW036,10,"HUCK"
082ENW036,11,"MARC"
082ENW036,12,"LINDA"
082ENW036,13,"LAND FR."
082ENW036,14,"E"
082ENW036,15,"LAKE"
082ENW037,1,"IVY"
082ENW037,2,"IVY-O"
082ENW038,1,"ELK 3"
082ENW038,2,"ARLINGTON"
082ENW039,1,"WALLACE"
082ENW039,2,"ARLINGTON"
082ENW040,1,"LAKEVALE"
082ENW040,2,"LAKE VALE"
082ENW041,1,"DKD 2"
082ENW041,2,"ARLINGTON"
082ENW042,1,"BRU 21"
082ENW042,2,"ARLINGTON"
082ENW043,1,"DKD 4"
082ENW043,2,"BRU"
082ENW043,3,"ARLINGTON"
082ENW044,1,"DKD 6"
082ENW044,2,"BRU"
082ENW044,3,"ARLINGTON"
082ENW045,1,"BRU 22"
082ENW045,2,"ARLINGTON"
082ENW046,1,"ROSEMONT"
082ENW046,2,"ROSEMONT (L.32915)"
082ENW046,3,"QUIS"
082ENW046,4,"GOLDIE"
082ENW046,5,"AURIFEROUS"
082ENW046,6,"AURI"
082ENW046,7,"DICK"
082ENW046,8,"ROSALIE"
082ENW047,1,"KNOB HILL"
082ENW047,2,"KNOB HILL (L.2659)"
082ENW047,3,"IVY-O 8"
082ENW048,1,"FAP"
082ENW048,2,"F.A.P."
082ENW048,3,"CRUMP"
082ENW048,4,"CRU"
082ENW048,5,"ARM"
082ENW049,1,"SIL"
082ENW049,2,"RHYOLITE"
082ENW049,3,"BALDRY"
082ENW049,4,"EMITTE"
082ENW049,5,"MISS TREPANIER"
082ENW049,6,"ASTRA"
082ENW049,7,"BAAL"
082ENW049,8,"CALUMET"
082ENW049,9,"IDA"
082ENW050,1,"JAMES LAKE"
082ENW050,2,"JOCK"
082ENW051,1,"HAYNES LAKE"
082ENW051,2,"KALLIS CREEK"
082ENW051,3,"PB"
082ENW051,4,"PB 81-179"
082ENW051,5,"PEREGRINE"
082ENW051,6,"LANE GROUP"
082ENW051,7,"CINDY GROUP"
082ENW052,1,"VENUS"
082ENW052,2,"PB"
082ENW052,3,"KALLIS CREEK"
082ENW053,1,"HYDRAULIC LAKE"
082ENW053,2,"TYEE"
082ENW053,3,"KETTLE"
082ENW053,4,"PB"
082ENW053,5,"PB 180-214"
082ENW054,1,"TREPANIER GORGE"
082ENW054,2,"TRE 1,2"
082ENW054,3,"JO"
082ENW055,1,"DAM"
082ENW055,2,"M 82"
082ENW055,3,"BERN"
082ENW056,1,"ROY"
082ENW056,2,"ROY 94"
082ENW056,3,"JUBILATION 3"
082ENW057,1,"GEORGE LAKE"
082ENW057,2,"NORTH BRENDA"
082ENW058,1,"KELOWNA"
082ENW059,1,"PAN"
082ENW059,2,"TRE"
082ENW059,3,"JO"
082ENW059,4,"DAN"
082ENW059,5,"COLD"
082ENW059,6,"PAN 17"
082ENW060,1,"LONG LAKE NORTH"
082ENW061,1,"BLACK"
082ENW061,2,"ARLINGTON"
082ENW062,1,"REG 2"
082ENW062,2,"AK 2"
082ENW063,1,"WESTBANK"
082ENW064,1,"LAMB"
082ENW065,1,"HALL"
082ENW065,2,"DKD 4"
082ENW065,3,"BRU"
082ENW065,4,"ARLINGTON"
082ENW066,1,"SWAN"
082ENW067,1,"STINKHOLE"
082ENW067,2,"FAULDER"
082ENW067,3,"LITTLE STINK"
082ENW067,4,"STINKHOLE LAKE"
082ENW067,5,"STINKHOLE POND"
082ENW068,1,"NORTH FAULDER"
082ENW068,2,"FAULDER 3"
082ENW068,3,"THREE PEAK BASIN"
082ENW069,1,"JOHNSON'S SLOUGH"
082ENW069,2,"FAULDER"
082ENW069,3,"MEADOW VALLEY SLOUGH"
082ENW069,4,"MEADOW VALLEY FIELD"
082ENW069,5,"MEADOW VALLEY POND"
082ENW069,6,"MVR"
082ENW070,1,"AGUR-7"
082ENW070,2,"AGUR"
082ENW071,1,"RIDDLE CREEK"
082ENW071,2,"AGUR-ASH"
082ENW071,3,"VENT"
082ENW072,1,"LONG LAKE EAST"
082ENW073,1,"PRAIRIE FLATS"
082ENW073,2,"DALE MEADOWS"
082ENW073,3,"PRAIRIE SOUTH EDGE"
082ENW073,4,"SUMMERLAND"
082ENW073,5,"PRAIRIE CREEK"
082ENW074,1,"IGNIMBRITE LAKE"
082ENW074,2,"FAULDER"
082ENW075,1,"WESTBENCH"
082ENW075,2,"MADELINE LAKE"
082ENW075,3,"NKWALA"
082ENW076,1,"ENEAS A"
082ENW076,2,"ENEAS"
082ENW076,3,"FAULDER"
082ENW076,4,"ENEAS CREEK CANYON"
082ENW076,5,"ENEAS CANYON"
082ENW077,1,"CONTACT POOL"
082ENW077,2,"FAULDER"
082ENW078,1,"THREE PEAK BASIN"
082ENW078,2,"FAULDER"
082ENW079,1,"BALD HILLS"
082ENW079,2,"BALD HILLS A"
082ENW079,3,"BALD HILLS B"
082ENW080,1,"MEADOW RIDGE"
082ENW080,2,"FAULDER"
082ENW081,1,"TREPANIER"
082ENW082,1,"WINN"
082ENW083,1,"PACIFIC PEARL"
082ENW083,2,"LITTLE WHITE MOUNTAIN"
082ENW083,3,"IDABEL LAKE"
082ENW083,4,"STAR"
082ENW083,5,"WEST COAST GRANITE"
082ENW083,6,"WESTCOAST GRANITE"
082ENW084,1,"AGUR-MO"
082ENW084,2,"AGUR"
082ENW085,1,"AGUR-1"
082ENW085,2,"AGUR"
082ENW085,3,"AGUR LAKES"
082ENW085,4,"AGW"
082ENW086,1,"AGUR-HILL"
082ENW086,2,"AGUR"
082ENW087,1,"NKWALA NORTH"
082ENW087,2,"NKWALA"
082ENW087,3,"NKWALA CASES"
082ENW088,1,"NKWALA CENTER"
082ENW088,2,"NKWALA"
082ENW088,3,"NKWALA CASES"
082ENW088,4,"OXBOW LAKE"
082ENW088,5,"NKWALA MARSH"
082ENW088,6,"WESTBENCH"
082ENW089,1,"NKWALA P. LINE"
082ENW089,2,"NKWALA"
082ENW089,3,"NKWALA CASES"
082ENW090,1,"ENEAS B"
082ENW090,2,"ENEAS"
082ENW090,3,"FAULDER"
082ENW090,4,"ENEAS CREEK CANYON"
082ENW090,5,"ENEAS CANYON"
082ENW091,1,"SPOD"
082ENW091,2,"BEAR 2"
082ENW091,3,"FRIDAY"
082ENW091,4,"LID"
082ENW091,5,"NAIL"
082ENW092,1,"FERROUX"
082ENW092,2,"WT"
082ENW093,1,"ISINTOK"
082ENW093,2,"PIN"
082ENW094,1,"SHEAR"
082ENW095,1,"JACK"
082ENW095,2,"FLAP"
082ENW096,1,"SYRUP"
082ENW097,1,"JUBILATION"
082ENW097,2,"NOGAN"
082ENW097,3,"ROY"
082ENW098,1,"BOLIVAR WEST"
082ENW098,2,"OKA"
082ENW099,1,"BOLIVAR EAST"
082ENW099,2,"OKA"
082ENW100,1,"BOLIVAR ROAD"
082ENW100,2,"OKA"
082ENW100,3,"IRON HORSE"
082ENW101,1,"BOLIVAR CREEK"
082ENW101,2,"MITCHELL"
082ENW101,3,"OKA"
082ENW102,1,"OKA 8"
082ENW103,1,"LOOKOUT MOUNTAIN"
082ENW103,2,"OKA 4"
082ENW104,1,"BRAE 1"
082ENW105,1,"MISSION CREEK"
082ENW105,2,"WILL 1-12"
082ENW105,3,"GALLAGHER'S CANYON"
082ENW106,1,"MOUNT SWITE AGATE"
082ENW107,1,"ANGEL HOT SPRING"
082ENW108,1,"MARG 1"
082ENW108,2,"GLEN LAKE"
082ENW108,3,"CAMP CREEK"
082ENW109,1,"NIPPLE MOUNTAIN SPLITSTONE"
082ENW109,2,"GLORY"
082ENW109,3,"FLAG"
082ENW109,4,"MOUNTAIN ASH"
082ENW109,5,"KETTLE VALLEY"
082ENW110,1,"NIPPLE MOUNTAIN OPAL"
082ENW110,2,"QUEEN"
082ENW110,3,"GLORY"
082ENW111,1,"CANYON"
082ENW111,2,"OKANAGAN GNEISS"
082ENW111,3,"RAINBOW GRANITE"
082ENW111,4,"KETTLE VALLEY"
082ENW112,1,"SHADOW RIDGE"
